Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7uF","C_0603_1608Metric",140.775000,-182.150000,270.000000,bottom
"C2","100nF","C_0402_1005Metric",130.475000,-182.100000,270.000000,bottom
"C3","100nF","C_0402_1005Metric",129.475000,-182.100000,270.000000,bottom
"C4","100nF","C_0402_1005Metric",130.380000,-173.100000,180.000000,bottom
"C5","1uF","C_0603_1608Metric",137.725000,-173.350000,0.000000,bottom
"C6","4.7uF","C_0603_1608Metric",139.275000,-182.150000,270.000000,bottom
"C7","4.7uF","C_0603_1608Metric",134.761000,-182.684000,90.000000,bottom
"C8","1uF","C_0603_1608Metric",134.507000,-172.778000,0.000000,bottom
"C9","47nF","C_0402_1005Metric",126.775000,-175.150000,0.000000,bottom
"C10","4.7uF","C_0603_1608Metric",136.285000,-182.684000,270.000000,bottom
"C11","820pF","C_0402_1005Metric",127.745000,-177.600000,180.000000,bottom
"C12","100pF","C_0402_1005Metric",127.776000,-174.175000,180.000000,bottom
"C13","100nF","C_0402_1005Metric",137.275000,-174.650000,0.000000,bottom
"C14","12pF","C_0402_1005Metric",139.575000,-174.650000,0.000000,bottom
"C15","12pF","C_0402_1005Metric",141.475000,-176.350000,270.000000,bottom
"C16","1.5pF","C_0402_1005Metric",116.026250,-184.000000,270.000000,bottom
"C17","1pF","C_0402_1005Metric",125.225000,-176.100000,90.000000,bottom
"C18","1pF","C_0402_1005Metric",128.225000,-176.100000,90.000000,bottom
"C19","12pF","C_0402_1005Metric",126.610000,-171.350000,270.000000,bottom
"C20","12pF","C_0402_1005Metric",130.610000,-171.350000,90.000000,bottom
"D1","D","D_1206_3216Metric",95.832793,-97.618748,180.000000,bottom
"D2","D","D_1206_3216Metric",126.789069,-100.000000,90.000000,bottom
"D3","D","D_1206_3216Metric",145.839085,-100.000000,90.000000,bottom
"D4","D","D_1206_3216Metric",164.889101,-100.000000,90.000000,bottom
"D5","D","D_1206_3216Metric",183.939069,-100.000000,90.000000,bottom
"D6","D","D_1206_3216Metric",202.989085,-100.000000,90.000000,bottom
"D8","D","D_1206_3216Metric",231.564109,-100.000000,90.000000,bottom
"D9","D","D_1206_3216Metric",247.637500,-102.381250,0.000000,bottom
